Word,Count
/,179
the,66
</summary>,59
<summary>,59
for,56
to,54
and,50
if,44
=,43
code,40
------------------------------------------------------------------------------,38
all,34
a,33
is,32
ant,31
in,30
of,28
this,27
by,25
path,23
city,23
file,22
be,22
each,22
set,20
This,20
was,20
tool,20
used,19
generated,19
Runtime,19
behavior,19
incorrect,19
add,19
cause,19
new,19
may,19
</auto-generated>,19
lost,19
regenerated,19
Changes,19
<auto-generated>,19
will,19
that,16
Version:4.0.30319.34011,16
best,15
do,15
from,15
update,13
data,12
{,12
on,12
InitializeComponent,12
not,12
child,11
with,11
through,11
fitness,11
parent,10
get,10
+,10
remove,10
assembly,10
UI,10
or,10
lock,9
create,9
},9
run,9
paths,9
initialize,9
resource,9
execution,8
go,8
f,8
store,8
algorithm,8
as,7
draw,7
find,7
alphas,7
ants,7
it,7
phermone,7
algorithms,7
foreach,7
check,7
forward,6
working,6
maximum,6
take,6
just,6
soln,6
pheromone,6
using,6
cities,6
backward,6
time,6
delegate,6
list,6
connection,6
first,6
an,6
travel,6
value,6
Version,6
before,6
worst,5
call,5
object,5
2,5
other,5
algo,5
connections,5
methods,5
specific,5
uilock,5
function,5
public,5
you,5
logic,5
following,5
can,5
type,5
attribute,5
CreateDelegate,4
Build,4
when,4
GeneratedInternalTypeHelper,4
ComVisible,4
i,4
params,4
start,4
information,4
global,4
10;,4
into,4
CreateInstance,4
position,4
currsoln,4
constructor,4
fr,4
WLoading,4
works,4
here,4
turn,4
class,4
Entry,4
exec,4
subtract,4
GetPropertyValue,4
no,4
put,4
MainWindow,4
Interaction,4
your,4
values,4
Application,4
Point,4
instance/static,4
AddEventHandler,4
y,4
90,4
-,4
App,4
animation,4
cost-time,4
Revision,4
order,4
cache,4
SetPropertyValue,4
\1,\,4
inside,3
delete,3
last,3
where,3
item,3
already,3
0,3
edit,3
below,3
edge,3
x,3
two,3
tour,3
c,3
swap,3
offseted,3
send,3
ascending,3
found,3
1,3
sort,3
animations,3
});,3
CityName,3
which,3
ie,3
Environment.NewLine,3
control,3
took,3
initial,3
end;,3
wait,3
metrics,3
properties,3
ga,3
should,3
reaching,3
grid,3
project,3
mode,3
modify,3
ui,3
lines,3
newpheromone,3
Version:4.0.30319.34003,3
CityTime,3
until,3
need,3
cost,3
random,3
thread,3
secondary,3
do:,3
Visibility.Hidden;,3
\-100,-200\,3
make,3
COM,3
[assembly:,3
ith,3
CityCost,3
subject,3
end,3
Cost_Time_Dependency_Data,3
subjects,3
\-50,-100\,3
genomes,3
relieved,3
only,3
color,2
workers,2
combined,2
Storyboard();,2
--------------------------------remove,2
specify,2
\canvasArea.Dispatcher.Invoke(DispatcherPriority.Render,\,2
highest,2
has,2
half,2
parent2,2
according,2
p[1],2
completed,2
Major,2
return,2
Minor,2
element,2
info,2
travelled,2
shown,2
dictionaries),2
label,2
,2
iteration,2
values:,2
up,2
l.Visibility,2
traversed,2
too,2
\"\\,2
DoubleAnimation,2
General,2
drawing,2
outside,2
starting,2
nw,2
implemented,2
p[0],2
k’s,2
TimeSpan.FromSeconds(time));,2
located,2
creation,2
performance,2
4,2
func,2
'*',2
angle,2
access,2
visible,2
\"\a"\,\,2
input,2
City_Metric_Data);,2
keeping,2
lambda,2
p,2
true;,2
City_Metric_Data.Add(new,2
next,2
attributes,2
associated,2
true,2
6,2
ResGen,2
Thread.Sleep(100);,2
primary,2
components,2
Double[2];,2
algo1,2
four,2
*,2
3,2
Double[],2
are,2
parent1,2
You,2
If,2
points.Add(p);,2
Draw,2
consists,2
pheromones,2
\COM,\,2
kth,2
canvas,2
this.ant_img.Name);,2
Numbers,2
unselected,2
mutliplying,2
being,2
l.X2,2
<,2
\page,\,2
labels,2
algo2,2
track,2
locks,2
its,2
move,2
0;,2
Set,2
l.Y2+,2
necessary,2
stop,2
influence,2
types,2
false,2
swaths,2
event,2
\,k\,2
controlled,2
so,2
(int,2
shadow,2
these,2
\,\,2
over,2
swath,2
loop,2
open,2
GradientStop,2
base,2
expression,2
validation,2
report,2
Number,2
least->most,2
between,2
probability,2
makes,2
default,2
ctrl+D,2
Information,2
about,2
place,2
theme,2
at,2
localbest,2
Change,2
calc,2
prop,2
below:,2
Remove,2
(used,2
selected,2
Workingset.Reverse();//reverse,2
current,2
Setting,2
required,2
one,2
j,2
sorting,2
\AssemblyVersion("\1.0.*"\)]\,2
while,2
updating,2
genetic,1
\2,\,1
RawValue,1
(ant,1
city;,1
qoutient,1
show,1
VS,1
<UICulture>,1
Storyboard,1
always,1
any,1
constructsoln(Workingset[j]);,1
collection,1
\returnalgoobj(),\,1
\strings,\,1
\"\Step1"\\,1
variables,1
localizable,1
0);,1
g;,1
auto-generated,1
30)-this.speed_slider.Value*2;//multipy,1
p[1]),1
anim_shape_color.Children.Add(anim_color);,1
WLoading.xaml,1
constructors,1
updater,1
cast,1
this.canvasArea1.Children.Clear();,1
point,1
directly,1
apply,1
iterations,1
\(FindName("\gradtwo"\)\,1
void,1
\(Color)ColorConverter.ConvertFromString("\#FF7400"\),\,1
EmptyDelegate);,1
info);,1
\anim,2-secondary\,1
ones,1
anim_shape_color.RepeatBehavior,1
grey,1
-----------------------------------,1
///async,1
b,1
\example,\,1
clear,1
construc,1
dataset,1
---baseprob,1
b.Watch.ElapsedTicks));,1
animate_ant.Children.Add(anim1);,1
animate_ant.Begin(this);,1
\j,\,1
this.progress_circle.Visibility,1
dictionaries,1
anim_shape_color,1
\option,\,1
---------------------------------,1
user,1
radians,1
ResourceManager,1
begin,1
CurrentUICulture,1
this.ant_img.RenderTransform,1
timers,1
oppsoite,1
sorted,1
press,1
metircs,1
optimize,1
\files,\,1
i++),1
our,1
threads,1
Handler,1
like,1
opaque,1
pheromones;,1
\"\,"\\,1
StronglyTypedResourceBuilder,1
\UIDispatcher.BeginInvoke(Ant_updater,\,1
31,1
\"\Step4"\;\,1
source,1
==,1
then,1
PropertyPath((Ellipse.FillProperty)(RadialGradientBrush.GradientStopsProperty)[1].(GradientStop.ColorProperty));,1
-------------------------------Delegates,1
primary-1,1
main,1
details,1
List<Algorithm<T>>,1
RepeatBehavior.Forever;,1
\DoubleAnimation(p[0].X+16,\,1
ga.execute();,1
evaporate,1
\member,\,1
if(give_localbest(item)<give_localbest(best)),1
waitin,1
\12,\,1
every,1
closebuttonControl.xaml,1
enter,1
------worker,1
colony,1
/end,1
hav,1
multiple,1
Thread.Sleep(TimeSpan.FromSeconds(1/speed_val,1
0-1,1
p1,1
rerun,1
match,1
redraws,1
\(find_distance(p[0],\,1
expecting,1
tour:,1
two;//animate,1
<PropertyGroup>,1
implementation,1
building,1
UltimateResourceFallbackLocation.Satellite)],1
binding,1
q,1
algorithm_list),1
finish,1
refresh,1
ac.execute();,1
shorter,1
animate_ant.Children.Add(anim2);,1
available,1
donno,1
.csproj,1
routed,1
worker,1
updaters,1
App.xaml,1
slide,1
population,1
0.5;,1
//get,1
j++),1
Random();,1
info.IsEnabled,1
trans,1
unlock,1
ctrl+d,1
//call,1
//wait,1
bindings,1
The,1
cost/time,1
genome,1
connecting,1
evrythin,1
dictionary,1
location,1
anim2,1
trans;,1
animate_ant_Completed;,1
\+Math.Round(way.phermone,2);\,1
dragged,1
\class,\,1
null),1
(UI_lock),1
evol.Begin();,1
property,1
functions,1
instant,1
depth,1
editing,1
page,1
\+"\\,1
dispatcher,1
line,1
range,1
localized,1
than,1
E,1
constant,1
\"\Step3"\\,1
-----------------------------ask,1
validations,1
\applications,\,1
Random,1
int,1
empty,1
en-US,1
single,1
\item+"\_shape_ant"\);\,1
sphere,1
Update,1
\DoubleAnimation(p[0].Y+12,\,1
update;,1
(small),1
throw,1
menubar,1
blink,1
collect,1
complete,1
MainWindow.xaml,1
\this.RegisterName("\gradtwo"\,\,1
words,1
if(time<1),1
\Storyboard.SetTargetName(anim2,\,1
mutated,1
-------------------Ui,1
\"\Step2"\\,1
ant_walker.RunWorkerAsync();,1
city_details.Count,1
typelib,1
\l.Content.ToString().Remove(l.Content.ToString().LastIndexOf(','));\,1
sum,1
this.city_details.Count);,1
//City_Metric_Data.Add(new,1
\Storyboard.SetTargetProperty(anim2,\,1
clicked,1
----------------------------------------,1
parallely,1
sleep,1
uncomment,1
NeutralResourceLanguage,1
TranslateTransform,1
strongly,1
Then,1
yet,1
----------------------------------------------worker,1
\Storyboard.SetTargetName(anim1,\,1
UpdateProgressDelegate;,1
hide,1
setting,1
rd,1
PropertyPath(Canvas.LeftProperty));,1
ask,1
have,1
solution,1
if(workingset[j].Data.Count==0),1
MessageBox.Show(b.Name,1
goto,1
\GradientStop((Color)ColorConverter.ConvertFromString("\#FF7400"\),\,1
-----------------------delegate,1
///call,1
randomly,1
catch,1
\cost,time,cost-time\,1
etc,1
name,1
animator,1
accessing,1
now,1
RadialGradientBrush,1
exections,1
init,1
edges,1
Visual,1
1;,1
parents,1
/create,1
\f.Edit("\b"\,City_Metric_Data);\,1
;,1
Workingset[j].addcity(city_details[no]);,1
preparations,1
binded,1
For,1
key,1
solution),1
old,1
thread's,1
parent1_updater.RunWorkerAsync(new,1
\anim,1-primary\,1
after,1
both,1
\cost,time\,1
drag,1
\"\+get_time(\,1
def,1
midpoint,1
\"\en-US"\\,1
two);,1
transparent.The,1
yellow,1
lookups,1
<UICulture>CultureYouAreCodingWith</UICulture>,1
rebuild,1
0-,1
\f.Add("\a"\,\,1
p[1].X+16,1
Initialize();//init,1
w-1,1
exection,1
US,1
RadialGradientBrush();,1
animate_ant.Completed,1
positions,1
via,1
done,1
english,1
1);,1
\GradientStop(Colors.White,\,1
(var,1
UI_lock,1
inherited,1
negative,1
objects,1
typed,1
To,1
Workingset.Count;,1
\Storyboard.SetTargetName(anim_color,\,1
blue,1
anti-clockwise,1
cached,1
rank,1
opacity,1
prep,1
exposed,1
sec-2,1
anim_shape_color.AutoReverse,1
static,1
aco,1
GUID,1
coefficient;,1
animate_ant,1
A,1
get;,1
elements,1
safe,1
exception,1
PropertyPath(Canvas.TopProperty));,1
\rd.Next(0,\,1
gunc,1
\data,lovation\,1
moves,1
Overrides,1
looking,1
calculate,1
\app,\,1
definition,1
/calc,1
private,1
instance,1
generic,1
strongly-typed,1
\Object[]{parent1,curr.Workingset});\,1
anim1,1
command,1
cost/time/cost-time,1
\4,\,1
costtime,1
.ResX,1
fxy^,1
>=1,1
pxy^beta,1
chosen,1
application,1
dipatcher,1
>=0,1
+=,1
double,1
/*,1
\"\b"\,\,1
City_Metric_Data.Clear();,1
p[1].Y+12,1
close,1
\ColorAnimation((Color)ColorConverter.ConvertFromString("\#153FC4"\),\,1
-------------------------------------------------------------------------------------,1
alpha,1
Insert,1
second,1
construct,1
false;,1
NotImplementedException();,1
In,1
List<Algorithm<T>>();,1
---y,1
ColorAnimation,1
initially,1
connectiona,1
EmptyDelegate);//refresh,1
));,1
nother,1
TranslateTransform();,1
Delegate,1
classes,1
andgenerate,1
facilitate,1
abstract,1
\Storyboard.SetTargetProperty(anim1,\,1
\f.Add("\b"\,\,1
editmode,1
item;,1
\NeutralResourcesLanguage("\en-US"\,\,1
anim_color,1
clockwise,1
number,1
speed,1
\Storyboard.SetTargetProperty(anim_color,\,1
Studio,1
possible,1
ID,1
execute,1
create_algorithm();//,1
level,1
UICulture,1
degree,1
Returns,1
positive,1
anim,1
anim_shape_color.Begin(this);,1
/str,1
τ0;,1
round,1
TimeSpan.FromSeconds(1));,1
evaporation,1
